Suplevit,,,,,,,,,,,,,
Producto,Marca,Cantidad,Precio (Efectivo-Zelle-Binance),Precio Bs (tasa euro),Concentración ,Servicios,Etiquetas,Sabor,Presentación ,Descripción,Categoría,Imagen sin fondo,Tabla Nutricional 
Gel de baño Sin Fragancia ,Honest,10,"$30,00","€35,00",-,-,"Sin lágrimas, hipoalergénico, apto para piel sensible, formulado con ingredientes de origen natural ",Sin fragancia ,532ml,"Este Gel de Baño y Champú Sin Fragancia es un limpiador 2 en 1 hipoalergénico y ultrasuave, diseñado especialmente para la piel delicada de los bebés, niños y adultos con sensibilidad cutánea o propensión a eccemas. Su fórmula suave sin lágrimas está elaborada con ingredientes de origen vegetal, como aloe vera y manzanilla, garantizando una limpieza profunda sin resecar ni alterar la barrera natural de la piel.",Cuidado Personal,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Gel de baño Honest sin fragancia.png""",
Glicinato de Magnesio ,Hovika,10,"$35,00","€40,00",Dosificación ajustable ,30 - 60 servicios ,"Sin azúcar, sin gluten, libre de soya, No-GMO",Sabor a fresa,60ml,"Esta fórmula líquida apoya el sueño reparador, reduce el estrés y favorece el enfoque mental.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Glicinato de Magnesio Hovika.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla glicinato de magnesio hovika.jpg"""
Glicinato de Magnesio ,VitaLetuo,10,"$20,00","€25,00",400mg por servicio (ajustable),30 servicios ,"Sin gluten, No-GMO, libre de nueces, sin lactosa, vegano, sin aditivos, orgánico ",Sabor a frambuesa ,30ml,"Máximo soporte para el descanso profundo y la relajación muscular. Esta fórmula líquida de alta concentración destaca por su excelente absorción y suavidad digestiva, facilitando un sueño reparador y un estado de calma ideal para el bienestar diario.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Glicinato de magnesio VitaLetuo.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla glicinato vitaletuo.jpg"""
Melena de León ,ArtoaLabs,10,"$20,00","€25,00",2000mg por servicio (ajustable),Aproximadamente 60 servicios ,"Sin azúcar, No-GMO, libre de parabenos, sin ingredientes artificiales, ",-,60ml,"Es un suplemento de alta pureza a base del hongo funcional Hericium erinaceus, formulado específicamente para estimular la salud cerebral, proteger el sistema nervioso y potenciar la agilidad mental sin recurrir a estimulantes ni cafeína. Su uso continuado favorece la neurogénesis lo que se traduce en una notable mejora de la concentración, la memoria de trabajo, la claridad mental y el enfoque diario, además de aportar propiedades neuroprotectoras, apoyar la salud de la microbiota digestiva y promover un estado de ánimo equilibrado y libre de estrés mental para un rendimiento óptimo.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Melena de León ArtoaLabs.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla melena de leon.jpg"""
Metilfolato + B12 (5-MTHF),Triquetra,10,"$35,00","€40,00",Dosificación ajustable ,Aproximadamente 150 servicios ,"Sin azúcar, sin gluten, No-GMO, libre de soya, sin lactosa, sin ingredientes artificiales, sin preservativos",Sin sabor ,30ml,"Combina L-metilfolato (5-MTHF) y B12, dos formas altamente biodisponibles de folato que apoyan la función cerebral, el desarrollo neurológico y la producción de energía celular. Favorece la salud cognitiva, el sistema nervioso y el metabolismo de la homocisteína. Quien tiene el gen MTHFR solo pueden absorberlo en esta presentación.",Suplementos / Vitaminas,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Metilfolato + B12 Triquetra.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla metilfolato + b12 triquetra.jpg"""
NAC  ,MEENCCD,10,"$25,00","€30,00",600mg por servicio ,30 servicios,"Sin azúcar, sin gluten, vegano, No-GMO",Sabor a frambuesa,60 gomitas,"Es un antioxidante natural, apoya al hígado, favorece la función respiratoria, contribuye a la regeneración celular, ayuda en la función cerebral y cognitiva.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\NAC MEENCCD Gomitas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla NAC gomitas meenccd.jpg"""
Neuraten Kids,Neuraten,0,"45,00$","50,00$",220mg Bacopa monnieri,30 servicios,"Sin gluten, No-GMO, Sin lactosa, sin jarabe de alta fructosa, sin saborizantes artificiales, sin colorantes artificiales",Sabor a frutos rojos,60 gomitas,"Neuraten aumenta las habilidades cognitivas como atención, concentración, enfoque, aprendizaje, razón y lógica mientras protege el cerebro de los radicales libres que causan estrés oxidativo y fatiga mental. Ha sido formulado con el mundialmente conocido nootrópico Bacopa Monnieri y Pycnogenol (extracto de corteza de pino marino francés) y un surtido de vitaminas y minerales de apoyo cognitivo como zinc, vitaminas A, C, D para alimentar las habilidades cognitivas sin tener que medicar a los niños con productos farmacéuticos sintetizados químicamente. ",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Neuraten Kids.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Tabla Neuraten kids.jpg"""
Omega 3 ,Carlson,10,"$50,00","€55,00",800mg por servicio ,Aproximadamente 80 servicios ,"Sin azúcar, sin colorantes artificiales, sin saborizantes artificiales, 100% de pesca salvaje, libre de metales pesados, No-GMO",Sabor a naranja,200ml,"Es un suplemento de aceite de pescado ultrapurificado elaborado a partir de peces de aguas profundas de pesca sostenible y galardonado internacionalmente por sus deliciosos sabores naturales que eliminan por completo cualquier sabor o reflujo a pescado. Esta fórmula de alta absorción proporciona niveles óptimos de ácidos grasos esenciales EPA y DHA para potenciar la concentración, la memoria, la salud visual y el desarrollo cerebral de los niños, al mismo tiempo que fortalece su sistema inmunológico y apoya su bienestar cardiovascular. Gracias a sus estrictas certificaciones de pureza que garantizan la ausencia de metales pesados y contaminantes.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Omega 3 Carlson 200ml.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla omega 3 carlson.png"""
Omega 3 DHA  119ml, Nordic Naturals,10,"$35,00","€40,00",530 mg por servicio (ajustable),Aproximadamente 48 servicios ,"Sin azúcar, sin gluten, No-GMO, sin derivados de la leche, sin colorantes artificiales, sin nueces ",Sabor a fresa,119ml,"Es un suplemento de aceite de pescado de alta pureza elaborado a partir de peces de aguas profundas de pesca sostenible, diseñado para aportar una concentración superior del ácido graso esencial DHA en forma de triglicéridos para garantizar una máxima absorción y un proceso digestivo sin molesto sabor o reflujo a pescado. Su fórmula está enfocada en nutrir y proteger la estructura del sistema nervioso, por lo que apoya la memoria, la concentración, el rendimiento cognitivo y la salud visual. Procesado bajo rigurosos estándares de calidad que eliminan metales pesados y contaminantes, ofrece una alternativa segura y altamente efectiva para quienes buscan potenciar su claridad mental, equilibrio emocional y bienestar cardiovascular integral de forma natural.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Omega 3 DHA Nordic 119ml.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla omega 3 dha nordic 119ml.png"""
Omega 3 DHA  473ml,Nordic Naturals,10,"$90,00","€100,00",530 mg por servicio (ajustable),Aproximadamente 192 servicios ,"Sin azúcar, sin gluten, No-GMO, sin derivados de la leche, sin colorantes artificiales, sin nueces",Sabor a fresa,473ml,"Es un suplemento de aceite de pescado de alta pureza elaborado a partir de peces de aguas profundas de pesca sostenible, diseñado para aportar una concentración superior del ácido graso esencial DHA en forma de triglicéridos para garantizar una máxima absorción y un proceso digestivo sin molesto sabor o reflujo a pescado. Su fórmula está enfocada en nutrir y proteger la estructura del sistema nervioso, por lo que apoya la memoria, la concentración, el rendimiento cognitivo y la salud visual. Procesado bajo rigurosos estándares de calidad que eliminan metales pesados y contaminantes, ofrece una alternativa segura y altamente efectiva para quienes buscan potenciar su claridad mental, equilibrio emocional y bienestar cardiovascular integral de forma natural.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Omega 3 DHA Nordic 473ml.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla omega 3 nordic dha 473ml.png"""
Omega 3 DHA  237ml,Nordic Naturals,0,"$60,00","€65,00",530 mg por servicio (ajustable),Aproximadamente 96 servicios ,"Sin azúcar, sin gluten, No-GMO, sin derivados de la leche, sin colorantes artificiales, sin nueces",Sabor a fresa,237ml,"Es un suplemento de aceite de pescado de alta pureza elaborado a partir de peces de aguas profundas de pesca sostenible, diseñado para aportar una concentración superior del ácido graso esencial DHA en forma de triglicéridos para garantizar una máxima absorción y un proceso digestivo sin molesto sabor o reflujo a pescado. Su fórmula está enfocada en nutrir y proteger la estructura del sistema nervioso, por lo que apoya la memoria, la concentración, el rendimiento cognitivo y la salud visual. Procesado bajo rigurosos estándares de calidad que eliminan metales pesados y contaminantes, ofrece una alternativa segura y altamente efectiva para quienes buscan potenciar su claridad mental, equilibrio emocional y bienestar cardiovascular integral de forma natural.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Omega 3 DHA Nordic 237ml.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\Tabla Omega 3 DHA Nordic 237ml.png"""
Omega 3 DHA ,Nordalic Naturs ,10,"$30,00","€35,00",600mg por servicio ,30 servicios ,"Sin azúcar, sin gluten, sin derivados de la leche, No-GMO, sin colorantes artificiales, 100% pesca salvaje ",Sabor a ponche tropical ,30 gomitas ,"Esta presentación de gomitas de Nordic Naturals está formulado para ofrecer los mismos beneficios esenciales del ácido graso DHA, pero en un formato masticable, práctico y con delicioso sabor a frutas. Está diseñado principalmente para personas que no disfrutan tragar cápsulas o tomar su versión líquida y utiliza sabores y colorantes 100% naturales, eliminando el sabor a pescado mediante métodos de purificación avanzados.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Omega 3 DHA Nordic Gomitas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla omega 3 nordic dha gomitas.jpg"""
Omega 3-6-9, Dr. Moritz ,10,"$40,00","€45,00",275mg por servicio ,30 servicios ,"Sin gluten, sin nueces, No-GMO, vegetarianas, sin olor ni sabor a pescado",Sabor a naranja y limón ,90 gomitas,"Las gomitas de Omega 3-6-9 para niños de Dr. Moritz son un suplemento nutricional masticable, delicioso y de origen 100% vegetariano, formulado especialmente para apoyar el crecimiento y la salud diaria de los más pequeños de forma natural. Destacan por estar elaboradas a base de pectina de frutas (sin gelatina de origen animal) y tener un exquisito sabor frutal, lo que garantiza una excelente aceptación en los niños sin ningún olor ni sabor a pescado. 
",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Omega 3-6-9 Dr. Moritz gomitas.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla omega 3-6-9 dr moritz.jpg"""
Paletas orgánicas ,YumEarth ,10,"$16,00","€18,00",-,14 piezas,"Contienen azúcar de caña orgánica, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,87g,"Paletas planas orgánicas en envoltorios individuales. Altos en vitamina C. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Paletas organicas YumeEarth.png""",
Paletas, Zollipops ,10,"$15,00","€17,00",-,Aproximadamente 12 piezas,"Sin azúcar, sin gluten, sin colorantes artificiales, sin lactosa ",Sabor a mix de frutas ,88g,"Paletas planas en envoltorios individuales. Cuidan los dientes, son ideales para personas con dietas restringidas o especiales.",Snacks Saludables,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Paletas planas Zollipops.png""",
Probióticos + Fibra ,Culturelle ,10,"$35,00","€40,00",2.5 billones Lactobacillus rhamnosus GG,24 servicios ,"Sin azúcar, sin nueces, sin lactosa, sin colorantes artificiales, vegano, No-GMO",Sin sabor,24 sobres individuales ,"Es un suplemento digestivo altamente práctico formulado con la cepa probiótica Lactobacillus rhamnosus GG, la más estudiada clínicamente, combinada con fibra prebiótica de origen vegetal para promover un equilibrio intestinal óptimo de forma suave y efectiva. Su diseño en sobres de dosis individual permite mezclar el polvo fácilmente en cualquier alimento frío, jugo o agua sin alterar el sabor ni la textura, ayudando a aliviar la hinchazón, el estreñimiento ocasional y los gases, al tiempo que restaura la flora intestinal y fortalece las defensas del sistema inmunológico tanto en adultos como en niños.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Probioticos + Fibra Culturelle.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla probioticos + fibra culturelle.jpg"""
Probióticos  ,Culturelle,10,"$35,00","€40,00",5 billones Lactobacillus rhamnosus GG,30 servicios ,"Sin azúcar, sin gluten, sin levadura, sin huevo, sin nueces, sin lactosa, sin colorantes artificiales, vegano, No-GMO",Sin sabor,30 sobres individuales ,"Es un suplemento digestivo formulado con un 100% de la cepa Lactobacillus rhamnosus GG, la más estudiada clínicamente a nivel mundial, diseñada para restaurar el equilibrio natural de la microbiota y favorecer una digestión saludable de manera continua. Presentados en un práctico formato de sobres en polvo sin sabor que se disuelven fácilmente en cualquier bebida o alimento frío, son ideales para llevar a cualquier parte y tomarlos sin alterar los alimentos, ayudando eficazmente a reducir la hinchazón, los gases y las molestias estomacales ocasionales, al tiempo que refuerzan el sistema inmunológico y protegen la salud intestinal diaria.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Probioticos Culturelle 30 sobres.jpg""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla probioticos culturelle 30 sobres.jpg"""
Probióticos masticables ,Culturelle,10,"$35,00","€40,00",5 billones Lactobacillus rhamnosus GG,30 servicios ,"Sin azúcar, sin trigo, sin levadura, sin huevo, sin nueces, sin lactosa, sin colorantes artificiales, vegano, No-GMO",Sabor a frutos rojos,30 tabletas masticables ,"Es un suplemento digestivo práctico y de delicioso sabor, formulado con la cepa probiótica Lactobacillus rhamnosus GG, la más probada y estudiada científicamente, para mantener el equilibrio de la flora intestinal sin necesidad de agua. Diseñados para una fácil absorción y aptos tanto para adultos como para niños según la presentación, estos comprimidos masticables ayudan a aliviar las molestias digestivas comunes como gases, hinchazón y acidez, reducen las diarreas ocasionales y potencian las defensas del sistema inmunológico, ofreciendo una opción conveniente, sin azúcar ni alérgenos comunes para el cuidado digestivo diario.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Probioticos Culturelle Masticables.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla probioticos culturelle masticables.jpg"""
Speech Theraphy ,Juneno,10,"$35,00","€40,00",-,60 servicios ,"Sin azúcar, sin gluten, vegano, No-GMO",Sabor a naranja,60ml,"Fórmula diseñada para apoyar el desarrollo del lenguaje, la comunicación y las funciones cognitivas en niños. Contiene nutrientes que favorecen el aprendizaje, la concentración y el adecuado desarrollo neurológico.",Suplementos,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Speech Therapy Juneno.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla speech therapy juneno.jpg"""
Vitamina B6 (Piridoxina), Carlson ,10,"$30,00","€35,00",100mg por servicio (ajustable),Aproximadamente 48 servicios ,"Sin gluten, No-GMO, sin azúcar, vegetariano",Sabor a limonada de frutos rojos ,120ml,"La vitamina B6 cumple un papel importante en el desarrollo neurológico y en la función cerebral. Es esencial para la producción de neurotransmisores que regulan el estado de ánimo, la atención y el comportamiento.",Vitaminas,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Vitamina B6 Carlson.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla vitamina b6 carlson.png"""
Vitamina B6  ,Lifeable Kids,10,"$30,00","€35,00",50mg por servicio,60 servicios,"Sin gluten, No-GMO, Vegano, libre de nueces, sin saborizantes artificiales, sin lactosa",Sabor a fresa,60 gomitas,"Estas deliciosas gomitas aportan vitamina B6, un nutriente esencial que contribuye al funcionamiento normal del sistema nervioso, al metabolismo energético y al adecuado desarrollo cognitivo. Su agradable sabor facilita la suplementación diaria de los niños.",Vitaminas,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Vitamina B6 Lifeable Kids.webp""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla vitamina b6 lifeable kids gomitas.png"""
Vitamina D3 ,ChildLife,10,"$20,00","€25,00",500ui por servicio (ajustable),115 servicios ,"Sin azúcar, sin gluten, sin colorantes artificiales, sin saborizantes artificiales, sin edulcorantes artificiales ",Sabor a frutos rojos ,30ml,"Fórmula perfecta para administrar desde el nacimiento. Favorece la absorción de calcio y fósforo para apoyar el desarrollo de huesos y dientes fuertes. Además, contribuye al funcionamiento normal del sistema inmunológico y al bienestar general de los niños.",Vitaminas,"""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\imagenes suplevit\Vitamina D3 Child Life.png""","""C:\Users\ReneBond\Dropbox (Personal)\Elias - Rene\Antigravity\suplevit-page\public\tablas nutricionales\tabla vitamina d3 child life.jpg"""
